Exercício: 2024;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;10303853473
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;256205702,2
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;17121515,98
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;01.122 - Administração Geral;siconfi-cor_TotalDespesas;227069736,2
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;FU01 - Demais Subfunções;siconfi-cor_TotalDespesas;12014450
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;43843529,13
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;42724363,6
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;1119165,53
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;563672154,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;405359357,3
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;368743
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;22232333,18
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04.128 - Formação de Recursos Humanos;siconfi-cor_TotalDespesas;34109,1
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04.129 - Administração de Receitas;siconfi-cor_TotalDespesas;6331631,95
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04.130 - Administração de Concessões;siconfi-cor_TotalDespesas;853923,33
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;128452357,9
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;39699
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;05 - Defesa Nacional;siconfi-cor_TotalDespesas;23256,1
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;05.153 - Defesa Terrestre;siconfi-cor_TotalDespesas;23256,1
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;48650647,96
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;06.181 - Policiamento;siconfi-cor_TotalDespesas;5786941,67
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;9781111,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;33082594,59
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;232405321,5
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;5515404,95
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;2519594
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;71548009,26
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;152822313,3
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;605380360,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;582771101,1
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;09.122 - Administração Geral;siconfi-cor_TotalDespesas;17118384,66
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;FU09 - Demais Subfunções;siconfi-cor_TotalDespesas;5490874,91
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;1715811017
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;767167801,5
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;586503236,6
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;41594419,35
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;24399354,87
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;64310113,36
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;217730540,2
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;FU10 - Demais Subfunções;siconfi-cor_TotalDespesas;14105551,58
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;11 - Trabalho;siconfi-cor_TotalDespesas;48081350,71
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;11.334 - Fomento ao Trabalho;siconfi-cor_TotalDespesas;37425840,4
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;11.122 - Administração Geral;siconfi-cor_TotalDespesas;10632030,31
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;FU11 - Demais Subfunções;siconfi-cor_TotalDespesas;23480
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;2709057206
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;1946069344
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;12.364 - Ensino Superior;siconfi-cor_TotalDespesas;4546412,98
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;544682746,2
Prefeitura Municipal de Manaus - AM;1302603;AM;2054731;Despesas Empenhadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;27460729,34
