Exercício: 2014;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;Despesas (Exceto Intraorçamentárias);siconfi-cor_TotalDespesas;34230475,56
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1444345,63
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1444345,63
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;6035046,24
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;5302255,71
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;639776,3
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;04.999 - Demais Subfunções Administração;siconfi-cor_TotalDespesas;93014,23
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;153061,22
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;153061,22
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;877194,84
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;877194,84
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;9106748,2
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;8556053,97
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;550694,23
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;10160226,4
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;6871854,74
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;12.362 - Ensino Médio;siconfi-cor_TotalDespesas;21853,86
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;2042285,15
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;12.999 - Demais Subfunções Educação;siconfi-cor_TotalDespesas;1224232,65
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;383691,64
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;383691,64
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;2098692,64
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;237034,68
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;15.452 - Serviços Urbanos;siconfi-cor_TotalDespesas;379190
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;15.999 - Demais Subfunções Urbanismo;siconfi-cor_TotalDespesas;1482467,96
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;17 - Saneamento;siconfi-cor_TotalDespesas;613360,47
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;17.512 - Saneamento Básico Urbano;siconfi-cor_TotalDespesas;613360,47
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;18 - Gestão Ambiental;siconfi-cor_TotalDespesas;20313,92
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;18.541 - Preservação e Conservação Ambiental;siconfi-cor_TotalDespesas;20313,92
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;20 - Agricultura;siconfi-cor_TotalDespesas;450071,2
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;20.605 - Abastecimento;siconfi-cor_TotalDespesas;329328
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;20.608 - Promoção da Produção Agropecuária;siconfi-cor_TotalDespesas;120743,2
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;23 - Comércio e Serviços;siconfi-cor_TotalDespesas;644595,59
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;23.692 - Comercialização;siconfi-cor_TotalDespesas;644595,59
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Despesas Empenhadas;25 - Energia;siconfi-cor_TotalDespesas;111004,9
