Exercício: 2016;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;Despesas (Exceto Intraorçamentárias);siconfi-cor_TotalDespesas;31132081,2
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1293710,52
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1293710,52
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;4917427,51
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;4138460,52
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;778966,99
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;138028
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;138028
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;1397855,04
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;1397855,04
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;5406380,13
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;4780437,16
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;178941,48
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;239993,31
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;207008,18
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;14036960,27
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;12984823,83
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;957759,54
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;44329,4
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;12.122 - Administração Geral;siconfi-cor_TotalDespesas;50047,5
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;1447567,32
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;1447567,32
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;18 - Gestão Ambiental;siconfi-cor_TotalDespesas;233309,2
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;18.541 - Preservação e Conservação Ambiental;siconfi-cor_TotalDespesas;233309,2
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;20 - Agricultura;siconfi-cor_TotalDespesas;518381,89
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;20.608 - Promoção da Produção Agropecuária;siconfi-cor_TotalDespesas;518381,89
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;27 - Desporto e Lazer;siconfi-cor_TotalDespesas;262613,66
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;27.122 - Administração Geral;siconfi-cor_TotalDespesas;222375,56
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;27.999 - Demais Subfunções Desporto e Lazer;siconfi-cor_TotalDespesas;40238,1
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;28 - Encargos Especiais;siconfi-cor_TotalDespesas;1479847,66
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;28.843 - Serviço da Dívida Interna;siconfi-cor_TotalDespesas;1136135,5
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;28.846 - Outros Encargos Especiais;siconfi-cor_TotalDespesas;343712,16
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Liquidadas;Despesas (Exceto Intraorçamentárias);siconfi-cor_TotalDespesas;31131299,3
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Liquidadas;01 - Legislativa;siconfi-cor_TotalDespesas;1292928,62
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Liquidadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1292928,62
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Liquidadas;04 - Administração;siconfi-cor_TotalDespesas;4917427,51
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Liquidadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;4138460,52
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Liquidadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;778966,99
