Exercício: 2017;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;26435484,52
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1067664,96
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1067664,96
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;3381393,81
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;2563463,9
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;817929,91
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;280026,12
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;280026,12
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;752390,68
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;95798,88
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;656591,8
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;92701,01
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;09.271 - Previdência Básica;siconfi-cor_TotalDespesas;92701,01
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;4217922,74
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;2125534,06
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;163,06
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;2092225,62
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;12683193,05
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;11036304,4
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;698093,63
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;12.122 - Administração Geral;siconfi-cor_TotalDespesas;406530,22
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;FU12 - Demais Subfunções;siconfi-cor_TotalDespesas;542264,8
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;50971,74
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;50971,74
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;2998231,94
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;15.452 - Serviços Urbanos;siconfi-cor_TotalDespesas;2998231,94
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;16 - Habitação;siconfi-cor_TotalDespesas;398706,7
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;16.482 - Habitação Urbana;siconfi-cor_TotalDespesas;398706,7
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;17 - Saneamento;siconfi-cor_TotalDespesas;22915,81
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;17.511 - Saneamento Básico Rural;siconfi-cor_TotalDespesas;22915,81
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;18 - Gestão Ambiental;siconfi-cor_TotalDespesas;36768,67
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;FU18 - Demais Subfunções;siconfi-cor_TotalDespesas;36768,67
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;20 - Agricultura;siconfi-cor_TotalDespesas;107914,95
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;20.605 - Abastecimento;siconfi-cor_TotalDespesas;107914,95
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;21 - Organização Agrária;siconfi-cor_TotalDespesas;35395,42
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;21.631 - Reforma Agrária;siconfi-cor_TotalDespesas;35395,42
