Exercício: 2014
Escopo: Municípios do Estado - AM
Tabela: Despesas Orçamentárias (Anexo I-D)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"Total Geral da Despesa";"siconfi-cor_TotalDespesas";34230475,56
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.0.00.00.00.00 - Despesas Correntes";"siconfi-cor_DO3.0.00.00.00.00";30935097,49
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.00.00.00.00 - Pessoal e Encargos Sociais";"siconfi-cor_DO3.1.00.00.00.00";14921964,97
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.00.00.00 - Aplicações Diretas";"siconfi-cor_DO3.1.90.00.00.00";14921964,97
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.04.00.00 - Contratação por Tempo Determinado";"siconfi-cor_DO3.1.90.04.00.00";2103751,2
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.11.00.00 - Vencimentos e Vantagens Fixas - Pessoal Civil";"siconfi-cor_DO3.1.90.11.00.00";10567423,39
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.13.00.00 - Obrigações Patronais";"siconfi-cor_DO3.1.90.13.00.00";1899081,45
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.13.02.00 - Contribuições Previdenciárias - INSS";"siconfi-cor_DO3.1.90.13.02.00";1899081,45
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.16.00.00 - Outras Despesas Variáveis - Pessoal Civil";"siconfi-cor_DO3.1.90.16.00.00";221029,78
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.92.00.00 - Despesas de Exercícios Anteriores";"siconfi-cor_DO3.1.90.92.00.00";124413,3
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.1.90.94.00.00 - Indenizações e Restituições Trabalhistas";"siconfi-cor_DO3.1.90.94.00.00";6265,85
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.3.00.00.00.00 - Outras Despesas Correntes";"siconfi-cor_DO3.3.00.00.00.00";16013132,52
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;"Despesas Empenhadas";"3.3.50.00.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos";"siconfi-cor_DO3.3.50.00.00.00";53615,00
