Exercício: 2017;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Despesas Orçamentárias (Anexo I-D);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;26435484,52
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.0.00.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;24361679,97
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.00.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;13829388,65
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;13829388,65
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.90.04.00.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;4983320,37
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.90.11.00.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;7893491,8
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.90.13.00.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;811888,07
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.90.13.02.00 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;811888,07
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.90.16.00.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;55526,46
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.1.90.92.00.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;85161,95
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.2.00.00.00.00 - Juros e Encargos da Dívida;siconfi-cor_DO3.2.00.00.00.00;3528,34
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.2.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.2.90.00.00.00;3528,34
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.2.90.21.00.00 - Juros sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.21.00.00;512,01
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.2.90.22.00.00 - Outros Encargos sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.22.00.00;3016,33
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.3.00.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;10528762,98
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.3.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;10528762,98
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.3.90.04.00.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.3.90.04.00.00;2140298,62
Prefeitura Municipal de Itamarati - AM;1301951;AM;8153;Despesas Empenhadas;3.3.90.14.00.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;236355
