Exercício: 2025
Escopo: Municípios do Estado - AM
Tabela: Despesas Orçamentárias (Anexo I-D)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"Total Geral da Despesa";"siconfi-cor_TotalDespesas";332513033,37
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.0.00.00.00 - Despesas Correntes";"siconfi-cor_DO3.0.00.00.00.00";276195723,28
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.00.00.00 - Pessoal e Encargos Sociais";"siconfi-cor_DO3.1.00.00.00.00";168765710,4
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.00.00 - Aplicações Diretas";"siconfi-cor_DO3.1.90.00.00.00";163614410,28
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares";"siconfi-cor_DO3.1.90.01.00.00";6336036,46
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.03.00 - Pensões do RPPS e do Militar";"siconfi-cor_DO3.1.90.03.00.00";2345135,46
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.04.00 - Contratação por Tempo Determinado";"siconfi-cor_DO3.1.90.04.00.00";23257448,25
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil";"siconfi-cor_DO3.1.90.11.00.00";128420894,33
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.13.00 - Obrigações Patronais";"siconfi-cor_DO3.1.90.13.00.00";2773782,48
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.13.02 - Contribuições Previdenciárias - INSS";"siconfi-cor_DO3.1.90.13.02.00";2126162,19
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.13.99 - Outras Obrigações Patronais";"siconfi-cor_DO3.1.90.13.99.00";647620,29
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.91.00 - Sentenças Judiciais";"siconfi-cor_DO3.1.90.91.00.00";155828,95
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.94.00 - Indenizações e Restituições Trabalhistas";"siconfi-cor_DO3.1.90.94.00.00";1331,37
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.90.99.00 - A Classificar";"siconfi-cor_DO3.1.90.99.00.00";323952,98
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social";"siconfi-cor_DI3.1.91.00.00.00";5151300,12
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.91.13.00 - Contribuições Patronais";"siconfi-cor_DI3.1.91.13.00.00";5151300,12
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.1.91.13.99 - Outras Obrigações Patronais - Intraorçamentária";"siconfi-cor_DI3.1.91.13.99.00";5151300,12
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.3.00.00.00 - Outras Despesas Correntes";"siconfi-cor_DO3.3.00.00.00.00";107430012,88
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.3.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos";"siconfi-cor_DO3.3.50.00.00.00";658231,00
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;"Despesas Empenhadas";"3.3.90.00.00 - Aplicações Diretas";"siconfi-cor_DO3.3.90.00.00.00";106632530,5
