Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;345547067,5
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;329275405,4
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;16821537,68
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;16083962,24
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;150269,47
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.2.01.0.0 - Imposto sobre a Propriedade Territorial Rural;siconfi-cor_RO1.1.1.2.01.0.0;1283,61
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.2.50.0.0 - Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.2.50.0.0;114024,86
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;"1.1.1.2.53.0.0 - Impostos sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis""";siconfi-cor_RO1.1.1.2.53.0.0;34961
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;6475822,24
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;6475822,24
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;6403462,98
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;72359,26
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.00.0.0;9457870,53
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.4.51.0.0 - Impostos sobre Serviços;siconfi-cor_RO1.1.1.4.51.0.0;9457870,53
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;siconfi-cor_RO1.1.1.4.51.1.0;9457870,53
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;480134,43
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;422326,65
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.1.01.0.0;404689,22
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental;siconfi-cor_RO1.1.2.1.04.0.0;17637,43
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.0.0;57807,78
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços em Geral;siconfi-cor_RO1.1.2.2.01.0.0;57807,78
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.3.0.00.0.0 - Contribuição de Melhoria;siconfi-cor_RO1.1.3.0.00.0.0;257441,01
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.3.1.00.0.0 - Contribuição de Melhoria;siconfi-cor_RO1.1.3.1.00.0.0;257441,01
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.1.3.1.51.0.0 - Contribuição de Melhoria para Expansão da Rede de Iluminação Pública na Cidade;siconfi-cor_RO1.1.3.1.51.0.0;257441,01
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;4984465,18
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;4984465,18
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.2.1.5.00.0.0 - Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social;siconfi-cor_RO1.2.1.5.00.0.0;4984465,18
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.2.1.5.01.0.0 - Contribuição do Servidor Civil;siconfi-cor_RO1.2.1.5.01.0.0;4984465,18
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.2.1.5.01.1.0 - Contribuição do Servidor Civil Ativo;siconfi-cor_RO1.2.1.5.01.1.0;4984465,18
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.3.0.0.00.0.0 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.0.0;4366327,92
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.3.2.0.00.0.0 - Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.0.0;4366327,92
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.3.2.1.00.0.0 - Juros e Correções Monetárias;siconfi-cor_RO1.3.2.1.00.0.0;4366327,92
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.3.2.1.01.0.0 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.1.01.0.0;3759435,84
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.3.2.1.04.0.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS;siconfi-cor_RO1.3.2.1.04.0.0;606892,08
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.6.0.0.00.0.0 - Receita de Serviços;siconfi-cor_RO1.6.0.0.00.0.0;602404,74
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.6.9.0.00.0.0 - Outros Serviços;siconfi-cor_RO1.6.9.0.00.0.0;602404,74
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.0.0.00.0.0 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.0.0;301890730,5
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.0.00.0.0 - Transferências da União e de suas Entidades;siconfi-cor_RO1.7.1.0.00.0.0;192913941
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.1.00.0.0 - Transferências Decorrentes de Participação na Receita da União;siconfi-cor_RO1.7.1.1.00.0.0;47870560,84
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.1.51.0.0 -Cota-Parte do Fundo de Participação dos Municípios - FPM;siconfi-cor_RO1.7.1.1.51.0.0;47847086,93
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.1.51.1.0 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal;siconfi-cor_RO1.7.1.1.51.1.0;42638471,06
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.1.51.2.0 - Cota-Parte do Fundo de Participação dos Municípios - Cotas Extraordinárias;siconfi-cor_RO1.7.1.1.51.2.0;5208615,87
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.1.52.0.0 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural;siconfi-cor_RO1.7.1.1.52.0.0;23473,91
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.2.00.0.0 -Transferências das Compensações Financeiras pela Exploração de Recursos Naturais;siconfi-cor_RO1.7.1.2.00.0.0;7754919,52
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.2.51.0.0 -Cota-parte da Compensação Financeira pela Exploração de Recursos Minerais - CFEM;siconfi-cor_RO1.7.1.2.51.0.0;670,88
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.2.52.0.0 - Cota-parte da Compensação Financeira pela Produção de Petróleo;siconfi-cor_RO1.7.1.2.52.0.0;7754248,64
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.2.52.1.0 - Cota-parte da Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/89;siconfi-cor_RO1.7.1.2.52.1.0;6924395,63
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.2.52.4.0 - Cota-Parte do Fundo Especial do Petróleo ¿ FEP;siconfi-cor_RO1.7.1.2.52.4.0;829853,01
Prefeitura Municipal de Manicoré - AM;1302702;AM;59225;Receitas Brutas Realizadas;1.7.1.3.00.0.0 -Transferências de Recursos do Sistema Único de Saúde ¿ SUS ;siconfi-cor_RO1.7.1.3.00.0.0;45955888,98
