Exercício: 2015
Escopo: Municípios do Estado - AM
Tabela: Receitas Orçamentárias (Anexo I-C)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"Total Receitas";"siconfi-cor_TotalReceitas";40415460,03
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.0.0.0.00.00.00 - Receitas Correntes";"siconfi-cor_RO1.0.0.0.00.00.00";39865460,03
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.0.0.00.00.00 - Receita Tributária";"siconfi-cor_RO1.1.0.0.00.00.00";643562,71
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.0.00.00.00 - Impostos";"siconfi-cor_RO1.1.1.0.00.00.00";643562,71
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda";"siconfi-cor_RO1.1.1.2.00.00.00";447487,71
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU";"siconfi-cor_RO1.1.1.2.02.00.00";5901,38
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR";"siconfi-cor_RO1.1.1.2.04.00.00";441586,33
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho";"siconfi-cor_RO1.1.1.2.04.31.00";423683,19
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos";"siconfi-cor_RO1.1.1.2.04.34.00";17903,14
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação";"siconfi-cor_RO1.1.1.3.00.00.00";196075,00
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN";"siconfi-cor_RO1.1.1.3.05.00.00";196075,00
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.2.0.0.00.00.00 - Receitas de Contribuições";"siconfi-cor_RO1.2.0.0.00.00.00";647588,66
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.2.1.0.00.00.00 - Contribuições Sociais";"siconfi-cor_RO1.2.1.0.00.00.00";647588,66
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.2.1.0.29.00.00 - Contribuições para o Regime Próprio de Previdência do Servidor Público";"siconfi-cor_RO1.2.1.0.29.00.00";647588,66
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.2.1.0.29.01.00 - Contribuição Patronal de Servidor Ativo Civil para o Regime Próprio";"siconfi-cor_RO1.2.1.0.29.01.00";7145,56
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.2.1.0.29.07.00 - Contribuição do Servidor Ativo Civil para o Regime Próprio";"siconfi-cor_RO1.2.1.0.29.07.00";571921,74
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.2.1.0.29.12.00 - Contribuições de Pensionista Militar";"siconfi-cor_RO1.2.1.0.29.12.00";68521,36
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.3.0.0.00.00.00 - Receita Patrimonial";"siconfi-cor_RO1.3.0.0.00.00.00";91101,32
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.3.2.0.00.00.00 - Receitas de Valores Mobiliários";"siconfi-cor_RO1.3.2.0.00.00.00";91101,32
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários";"siconfi-cor_RO1.3.2.5.00.00.00";72704,88
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.3.2.8.00.00.00 - Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor";"siconfi-cor_RO1.3.2.8.00.00.00";18396,44
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.7.0.0.00.00.00 - Transferências Correntes";"siconfi-cor_RO1.7.0.0.00.00.00";38285011,27
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.7.2.0.00.00.00 - Transferências Intergovernamentais";"siconfi-cor_RO1.7.2.0.00.00.00";37569662,07
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.7.2.1.00.00.00 - Transferências da União";"siconfi-cor_RO1.7.2.1.00.00.00";15977845,71
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.7.2.1.01.00.00 - Participação na Receita da União";"siconfi-cor_RO1.7.2.1.01.00.00";12394413,14
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;"Receitas Brutas Realizadas";"1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM";"siconfi-cor_RO1.7.2.1.01.02.00";12393516,78
