Exercício: 2014;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;Total Receitas;siconfi-cor_TotalReceitas;36988793,56
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.0.0.0.00.00.00 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.00.00;34375500,52
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.0.0.00.00.00 - Receita Tributária;siconfi-cor_RO1.1.0.0.00.00.00;1523921,1
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.1.0.00.00.00 - Impostos;siconfi-cor_RO1.1.1.0.00.00.00;1458183,51
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;siconfi-cor_RO1.1.1.2.00.00.00;767969,53
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;siconfi-cor_RO1.1.1.2.04.00.00;766659,53
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;siconfi-cor_RO1.1.1.2.04.31.00;167339,31
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;siconfi-cor_RO1.1.1.2.04.34.00;599320,22
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;"1.1.1.2.08.00.00 - Imposto sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI""";siconfi-cor_RO1.1.1.2.08.00.00;1310
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;siconfi-cor_RO1.1.1.3.00.00.00;690213,98
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;siconfi-cor_RO1.1.1.3.05.00.00;690213,98
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.2.0.00.00.00 - Taxas;siconfi-cor_RO1.1.2.0.00.00.00;65737,59
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.00.00;54515,13
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.00.00;11222,46
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.2.0.0.00.00.00 - Receitas de Contribuições;siconfi-cor_RO1.2.0.0.00.00.00;327753,11
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.3.0.00.00.00;327753,11
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.3.0.0.00.00.00 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.00.00;446215,15
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.3.1.0.00.00.00 - Receitas Imobiliárias;siconfi-cor_RO1.3.1.0.00.00.00;27500
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.3.1.1.00.00.00 - Aluguéis;siconfi-cor_RO1.3.1.1.00.00.00;27500
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.3.2.0.00.00.00 - Receitas de Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.00.00;418715,15
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.5.00.00.00;418715,15
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.7.0.0.00.00.00 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.00.00;32000281,42
Prefeitura Municipal de Apuí - AM;1300144;AM;20258;Receitas Brutas Realizadas;1.7.2.0.00.00.00 - Transferências Intergovernamentais;siconfi-cor_RO1.7.2.0.00.00.00;30300216,82
